JKPAYT,#genre#
CCTV3 综艺,http://192.168.3.1:5001/TVOD/1000000001000013682/ystenlive/index.m3u8$8M1080_易视腾
CCTV3 综艺,http://192.168.3.1:5001/TVOD/5000000004000008883/bestzb/index.m3u8$6.8M1080_百视通
CCTV3 综艺,http://192.168.3.1:5001/TVOD/1000000005000265003/ystenlive/index.m3u8$5.5M1080HEVC_易视腾
CCTV3 综艺,http://192.168.3.1:5001/TVOD/5000000002000020548/bestzb/index.m3u8$4M1080_百视通
CCTV3 综艺,http://192.168.3.1:5001/TVOD/1000000001000011218/ystenlive/index.m3u8$4M1080_易视腾
CCTV4 中文国际,http://192.168.3.1:5001/TVOD/5000000011000031102/bestzb/index.m3u8$6.8M1080_百视通
CCTV4 中文国际,http://192.168.3.1:5001/TVOD/1000000005000265004/ystenlive/index.m3u8$5.5M1080HEVC_易视腾
CCTV4 中文国际,http://192.168.3.1:5001/TVOD/1000000002000031664/ystenlive/index.m3u8$4M1080_易视腾
CCTV4 中文国际,http://192.168.3.1:5001/TVOD/5000000005000030093/bestzb/index.m3u8$4M720_百视通
CCTV5 体育,http://192.168.3.1:5001/TVOD/1000000005000025222/ystenlive/index.m3u8$12M1080_易视腾
CCTV5 体育,http://192.168.3.1:5001/TVOD/6000000001000016431/wasusyt/index.m3u8$8M1080_华数
CCTV5 体育,http://192.168.3.1:5001/TVOD/1000000003000030177/ystenlive/index.m3u8$8M1080_易视腾
CCTV5 体育,http://192.168.3.1:5001/TVOD/5000000004000008885/bestzb/index.m3u8$6.8M1080_百视通
CCTV5 体育,http://192.168.3.1:5001/TVOD/1000000005000265005/ystenlive/index.m3u8$5.5M1080HEVC_易视腾
CCTV5 体育,http://192.168.3.1:5001/TVOD/5000000010000016619/bestzb/index.m3u8$4M1080_百视通
CCTV5 体育,http://192.168.3.1:5001/TVOD/1000000001000004794/ystenlive/index.m3u8$4M1080_易视腾
CCTV5+ 体育赛事,http://192.168.3.1:5001/TVOD/6000000001000015875/wasusyt/index.m3u8$8M1080_华数
CCTV5+ 体育赛事,http://192.168.3.1:5001/TVOD/1000000001000018504/ystenlive/index.m3u8$8M1080_易视腾
CCTV5+ 体育赛事,http://192.168.3.1:5001/TVOD/5000000011000031127/bestzb/index.m3u8$6.8M1080_百视通
CCTV5+ 体育赛事,http://192.168.3.1:5001/TVOD/1000000005000265016/ystenlive/index.m3u8$5.5M1080HEVC_易视腾
CCTV5+ 体育赛事,http://192.168.3.1:5001/TVOD/1000000001000020505/ystenlive/index.m3u8$4M1080_易视腾
CCTV6 电影,http://192.168.3.1:5001/TVOD/6000000001000004574/wasusyt/index.m3u8$8M1080_华数
CCTV6 电影,http://192.168.3.1:5001/TVOD/1000000001000001737/ystenlive/index.m3u8$8M1080_易视腾
CCTV6 电影,http://192.168.3.1:5001/TVOD/5000000004000008886/bestzb/index.m3u8$6.8M1080_百视通
CCTV6 电影,http://192.168.3.1:5001/TVOD/1000000005000265006/ystenlive/index.m3u8$5.5M1080HEVC_易视腾
CCTV6 电影,http://192.168.3.1:5001/TVOD/5000000010000018433/bestzb/index.m3u8$4M1080_百视通
CCTV6 电影,http://192.168.3.1:5001/TVOD/1000000001000016466/ystenlive/index.m3u8$4M1080_易视腾
CCTV7 国防军事,http://192.168.3.1:5001/TVOD/6000000001000009055/wasusyt/index.m3u8$8M1080_华数
CCTV7 国防军事,http://192.168.3.1:5001/TVOD/1000000001000024341/ystenlive/index.m3u8$8M1080_易视腾
